,TITLES,PRICES,MARQUE,MODELE,ANNEE,CARBURANT,KILOMETRAGE,PUISSANCE,VILLE
69,fiat grande punto,50000.0,fiat,punto,2006,Essence,54000,6.0,el jadida
70,suzuki silerio 1ème mah,67000.0,suzuki,celerio,2012,Essence,117000,6.0,casablanca
71,clio 5 entrée de gamme immatriculation rabat,150000.0,renault,clio,,Diesel,40000,6.0,casablanca
72,voiture sq5,220000.0,audi,sq5,2014,Diesel,140450,11.0,casablanca
73,fiat 500x model 2018 manuelle 140000km,138000.0,fiat,500,2018,Diesel,140000,6.0,casablanca
74,mini cooper,145000.0,mini,cooper coupé,2015,Essence,67000,9.0,casablanca
75,dacia logan,58000.0,dacia,logan,2014,Diesel,121000,6.0,casablanca
76,kangoo d65 à vendre,60000.0,renault,kangoo,2005,Diesel,340000,7.0,casablanca
77,voiture neuf,220000.0,peugeot,3008,2019,Diesel,98000,8.0,casablanca
78,porsche cayenne 2015 importée neuve,400000.0,porsche,cayenne,2015,Diesel,200000,12.0,rabat
79,hyundai elantra gls,190000.0,hyundai,elantra,2019,Diesel,75000,6.0,tout le maroc
80,ford focus presque neuve,170000.0,ford,focus,2014,Diesel,79000,6.0,marrakech
81,hyundai elantra gls,190000.0,hyundai,elantra,2019,Diesel,75000,6.0,tout le maroc
82,hyundai elantra en très bon état,180000.0,hyundai,elantra,2019,Diesel,98000,6.0,temara
83,fiat 500x model 2018 manuelle 140000km,138000.0,fiat,500,2018,Diesel,140000,6.0,casablanca
84,citroen xsara,35000.0,citroen,xsara,2000,Diesel,300000,7.0,temara
85,volkswagen polo,65000.0,volkswagen,polo,2007,Diesel,319000,6.0,salé
86,dacia duster fin 2019,153000.0,dacia,duster,2019,Diesel,200000,6.0,casablanca
87,peugeot 307 modèle 2006 essence diwana 2006 a vend,50000.0,peugeot,307,2006,Essence,0,8.0,mohammedia
88,bmw serie 07,210000.0,bmw,serie 7,,Diesel,144000,12.0,casablanca
89,opel combo lif 2019,145000.0,opel,combo,2019,Diesel,170000,6.0,casablanca
90,508 faul options,140000.0,peugeot,508,2017,Diesel,180000,6.0,temara
91,mercedes classe a à vendre modèle 2013,155000.0,mercedes-benz,classe a,2013,Diesel,143000,7.0,rabat
92,vente dacia docker excellent etat,145000.0,dacia,dokker,2019,Diesel,5000,7.0,temara
93,tiguan r-line 2022 dd 2025,475000.0,volkswagen,tiguan,,ديزل,95000,20.0,rabat
94,bmw série 1,130000.0,bmw,serie 1,2012,Essence,0,8.0,casablanca
95,vente qashqai,160000.0,nissan,qashqai ~2,2015,Diesel,0,6.0,casablanca
96,citroen c4 diesel manuelle 2008 à casablanca,75000.0,citroen,c4,2008,Diesel,207000,6.0,casablanca
97,jeep renegade 1.6 longitude s&s 120 limi,142000.0,jeep,renegade,2016,Diesel,190000,6.0,rabat
98,citroën,55000.0,citroen,berlingo,2008,Diesel,900,7.0,tanger
99,a vendre daihatsu sirion,48000.0,daihatsu,sirion,2009,Essence,130000,7.0,mohammedia
100,voiture à vendre,220000.0,volkswagen,tiguan,2018,Diesel,145000,20.0,marrakech
101,tanger maroc,55000.0,citroen,berlingo,2008,Diesel,900,7.0,tanger
102,dokker van 2020 diesel,110000.0,dacia,dokker,,Diesel,103000,6.0,marrakech
103,hyndai ix35 à vendre,145000.0,hyundai,ix35,2013,Diesel,113000,8.0,casablanca
104,vendre passat 2017,200000.0,volkswagen,passat,2017,Diesel,117000,8.0,agadir
105,punto a vendre,60000.0,fiat,punto,2013,Essence,188000,7.0,berrechid
106,je mets en vente ma voiture volkswagen polo,100000.0,volkswagen,polo,2016,Essence,94000,6.0,tanger
107,voiture tres bon état,36500.0,chery,a113,2012,Essence,120000,7.0,bouskoura
108,volkswagen eos 2008 (boite automatique),70000.0,volkswagen,eos,2008,Essence,233108,11.0,casablanca
109,renault clio 2 essence,54000.0,renault,clio,2008,Essence,280000,7.0,marrakech
110,automobile en bon état et economique,32000.0,chery,qq,2007,Essence,160000,5.0,mohammedia
111,toyota corolla cross essence automatique 2022,295000.0,toyota,corolla,,Essence,81000,10.0,taroudant
112,toyota corolla diesel manuelle 2007,69999.0,toyota,corolla,2007,Diesel,547000,8.0,casablanca
113,citroën c4 diesel 2007,66000.0,citroen,c4,2007,Diesel,190000,7.0,marrakech
114,opel combo kif,14900.0,opel,combo,2019,Diesel,17000,6.0,casablanca
115,cotroën c4,125000.0,citroen,c4,2015,Diesel,93000,6.0,tanger
116,auto à vendre,39000.0,renault,symbol,2009,Essence,300,7.0,casablanca
117,voitures peugeot 208 a vendere a rabat,90000.0,peugeot,208,2017,Diesel,100000,6.0,rabat
118,peugeot 2008,160000.0,peugeot,2008,2019,Diesel,52000,6.0,mohammedia
119,peugeot landtrek diesel manuelle 2022 à el jadida,330000.0,peugeot,expert,,Diesel,7500078000,8.0,el jadida
120,audi a4 diesel fin novembre 2015 - 1ère main,175000.0,audi,a4,2015,Diesel,145000,8.0,salé
121,peugeot 106,15000.0,peugeot,106,1993,Essence,29900,8.0,casablanca
122,toyota corolla première main excellant état diesel,140000.0,toyota,corolla,2014,Diesel,79000,6.0,meknès
123,touareg model 2019 excellent etat,300000.0,volkswagen,touareg,2019,Diesel,95000,12.0,marrakech
124,renault clio 5 diesel manuelle 2022 à rabat,160000.0,renault,clio,,Diesel,0,6.0,rabat
125,duster tout option,110000.0,dacia,duster,2010,Diesel,170000,6.0,casablanca
126,volvo premiere main,30000.0,volvo,s40,1999,Diesel,180000,6.0,martil
127,r4 gtl,39000.0,renault,r4,1993,Essence,350000,6.0,casablanca
128,301 essence très bonne état,65000.0,peugeot,301,2015,Essence,111000,6.0,temara
129,ford focus trend plus,165000.0,ford,focus,2018,Diesel,165000,6.0,marrakech
130,ford fusion titanium x - très bon état,185000.0,ford,fusion,2016,Diesel,184000,8.0,casablanca
131,ابحث عن سيارة,35000.0,renault,clio,2005,Essence,0,20.0,marrakech
132,mercedes a180,158000.0,mercedes-benz,classe a,2013,Diesel,180000,7.0,casablanca
133,chana benin model 2009 bon état,45000.0,kia,picanto,2009,Essence,160000,7.0,agadir
134,renault megane sedan,145000.0,renault,megane,2019,Diesel,276000,6.0,casablanca
135,jazz a vendre,125000.0,honda,jazz (2001),2016,Essence,82000,8.0,rabat
136,kia picanto,105000.0,kia,picanto,2016,Essence,40000,6.0,larache
137,renault kangoo commerce,105000.0,renault,kangoo,2019,Diesel,80000,6.0,larache
138,opel astra 2019 manuel diesel,173000.0,opel,astra,2019,Diesel,69000,6.0,agadir
139,seat ibiza,84000.0,seat,ibiza,2013,Diesel,168400,6.0,mohammedia
140,jeep grand cherokee 2021,220000.0,jeep,grand cherokee,,Diesel,85000,12.0,casablanca
141,grande punto 1.9 130cv,58000.0,fiat,punto,2006,Diesel,260000,8.0,casablanca
142,berlingo tres bon etat,100000.0,citroen,berlingo,2008,Diesel,100000,7.0,casablanca
143,ford fiesta,110000.0,ford,fiesta,2017,Diesel,173000,6.0,tanger
144,ford fusion 2016 a vendre,12000000.0,ford,fusion,2016,Diesel,0,8.0,casablanca
145,opel prix sacré,1.0,opel,meriva,2012,Diesel,0,7.0,casablanca
146,ford fiesta 2007 essence,50000.0,ford,fiesta,2007,Essence,298000,7.0,mohammedia
147,palio essence,43000.0,fiat,palio,2004,Essence,0,7.0,salé
148,opel meriva 2,65000.0,opel,meriva,2012,Diesel,0,7.0,casablanca
149,opel meriva b,70000.0,opel,meriva,2012,Diesel,0,7.0,casablanca
150,opel corsa essence modèle 2009,67000.0,opel,corsa,2009,Essence,180000,7.0,casablanca
151,vente dacia logan 2019 casa dar bouazza,128000.0,dacia,logan,2019,Diesel,61000,6.0,casablanca
152,opel meriva b,68000.0,opel,meriva,2012,Diesel,0,7.0,casablanca
153,سيارة أنيقة,255000.0,nissan,qashqai,,Essence,39000,8.0,tanger
154,opel meriva b,70000.0,opel,meriva,2012,Diesel,242000,7.0,casablanca
155,ford custom,170000.0,ford,tourneo,2017,Diesel,150000,9.0,meknès
156,opel meriva b,72000.0,opel,meriva,2012,Diesel,242000,7.0,casablanca
157,سيارة للبيع,54000.0,renault,megane,2003,Diesel,0,7.0,kénitra
158,fiat uno à vendre model 11/99,20000.0,fiat,uno,1999,Diesel,400000,6.0,tanger
159,accent,40000.0,hyundai,accent,2004,Diesel,230000,6.0,mohammedia
160,seat leon model 2016,142000.0,seat,leon,2016,ديزل,168000,6.0,agadir
161,volkswagen touareg à vendre,560000.0,volkswagen,touareg,,Diesel,75000,20.0,casablanca
162,ford kuga,270000.0,ford,kuga,,Diesel,50000,7.0,kénitra
163,pour des raisons personnelle,68000.0,citroen,c3,2012,Essence,0,6.0,casablanca
164,clio 4 2015,100000.0,renault,clio,2015,Diesel,171000,6.0,casablanca
165,peugeot 308 toutes options - état neuf - occasion,160000.0,peugeot,308,2019,Diesel,40000,6.0,casablanca
166,peugeot 308 toutes options - état neuf - occasion,160000.0,peugeot,308,2019,Diesel,40000,6.0,casablanca
167,voiture ford transit fourgon,170000.0,ford,transit,2017,Diesel,124714,9.0,casablanca
168,passat b6 2008 ded 2013,105000.0,volkswagen,passat,2008,Diesel,300000,8.0,casablanca
169,voiture qashqai 2023 èssence automatique,230000.0,nissan,qashqai,,Essence,50000,8.0,nador
170,opel meriva b,72000.0,opel,meriva,2012,Diesel,242000,7.0,casablanca
171,dacia stepway a vendre,128000.0,dacia,sandero,2019,Diesel,115000,6.0,casablanca
172,mini lifan 320,32000.0,mini,mini,2011,Essence,130000,8.0,casablanca
173,volkswagen touran 7p ttes options,115000.0,volkswagen,touran,2012,Diesel,395000,8.0,casablanca
174,swift 2014,72000.0,suzuki,swift,2014,Essence,110000,6.0,rabat
175,passât b8,1.0,volkswagen,passat,2018,Diesel,157000,8.0,casablanca
176,bmw serie 1 118i essence,102000.0,bmw,serie 1,2009,Essence,179900,11.0,mohammedia
177,nissan qashqai diesel manuelle 2011 à casablanca,116000.0,nissan,qashqai,2011,Diesel,0,6.0,casablanca
178,bmw série 1 diesel manuelle 2008,100000.0,bmw,serie 1,2008,Diesel,188000,8.0,casablanca
179,peugeot 206 diesel hdi,45000.0,peugeot,206,2004,Diesel,0,7.0,casablanca
180,touareg à vendre,165000.0,volkswagen,touareg,2016,Diesel,200000,12.0,casablanca
181,vendre clio 4 2021,136000.0,renault,clio,,Diesel,46000,6.0,casablanca
182,honda cr-v 2015 d'occasion à marrakech,158000.0,honda,cr-v,2015,Diesel,0,6.0,marrakech
183,caddy volkswagen a vendre,85000.0,volkswagen,caddy,2005,Diesel,300000,8.0,khemisset
184,mazda cx-7,95000.0,mazda,cx_7,2011,Diesel,282000,9.0,meknès
185,hyundai accent,105000.0,hyundai,accent,2019,Diesel,140000,6.0,casablanca
186,jeep grand cherokee 4×4,280000.0,jeep,grand cherokee,,Diesel,59480,17.0,casablanca
187,سيارة للكراء,250.0,peugeot,bipper,2015,Diesel,210000,6.0,tanger
188,belle opel crossland x,162000.0,opel,mokka,2019,Diesel,100000,6.0,meknès
189,susuki selerio,55000.0,suzuki,celerio,2012,Essence,99000,6.0,rabat
190,ford fiesta,118000.0,ford,fiesta,2017,Diesel,150000,6.0,casablanca
191,santafe 2013 premiere main,158000.0,hyundai,santa fe,2013,Diesel,262000,8.0,rabat
192,volvo c30 r-design,105000.0,volvo,c30,2010,Diesel,150000,6.0,casablanca
193,kango 2016 bonne etat,96000.0,renault,kangoo,2016,Diesel,198000,6.0,el jadida
194,santa fe 2013 premiere main,158000.0,hyundai,santa fe,2013,Diesel,262000,8.0,rabat
195,dacia sandero stepway prestige,115000.0,dacia,sandero,2018,Diesel,87,6.0,tanger
196,ford c-max titanium 2013,120000.0,ford,c-max,2013,Diesel,170000,6.0,rabat
197,renault capture 2020,175000.0,renault,zoe,2019,Diesel,62100,6.0,casablanca
198,stepway 1 ère main,122000.0,dacia,sandero,2018,Diesel,120000,7.0,casablanca
199,toyota yaris diesel 2015 tel 0614410617,93000.0,toyota,yaris,2015,Diesel,178000,6.0,casablanca
200,voiture mercedes coupé gle 350 - amg line+,460000.0,mercedes-benz,350,2018,Diesel,108000,12.0,casablanca
201,vente jeep renegade très bonne état toutes options,179000.0,jeep,renegade,2018,Diesel,45000,6.0,casablanca
202,land rover range rover autobiography diesel,365000.0,land rover,range rover,2015,Diesel,150000159000,18.0,casablanca
203,volkswagen golf 3 essence - موديل 1993 ديوانة 2002,30000.0,volkswagen,golf,1993,Essence,0,8.0,imouzzer kandar
204,voiture a vendre peugeot 407,73000.0,peugeot,407,2009,Diesel,410000,6.0,beni mellal
205,"audi a5 2l, 2015 .",195000.0,audi,a5,2015,Diesel,135000,8.0,casablanca
206,sandero stepway 2021,135000.0,dacia,sandero,,Diesel,109,6.0,tout le maroc
207,toyota yaris à vendre,110000.0,toyota,yaris,2015,Diesel,43000,6.0,casablanca
208,dacia duster sur casablanca,165000.0,dacia,duster,2019,Diesel,71000,6.0,casablanca
209,mercedes c 220,250000.0,mercedes-benz,c 200,2017,Diesel,170000,8.0,casablanca
210,fiat doblo fourgonnette frigorifique carrier,87000.0,fiat,doblo,2016,Diesel,238000,5.0,meknès
211,classe e 220 finition amg,430000.0,mercedes-benz,classe e,2017,Diesel,101000,8.0,casablanca
212,ford focus 2012,100500.0,ford,focus,2012,Diesel,230000,6.0,marrakech
213,fiat 500 à vendre fès,119000.0,fiat,500,,Essence,30000,6.0,fès
214,clio2 diesel 2008diwana2006,43000.0,renault,clio,2000,Diesel,17000,7.0,casablanca
215,daihatsu siron,48000.0,daihatsu,sirion,2008,Essence,106800,6.0,casablanca
216,volkswagen golf 7 - modèle 2018 - excellent état,182000.0,volkswagen,golf,2018,Diesel,85695,8.0,marrakech
217,voitures à vendre,123000.0,audi,a4,2009,Diesel,167000,8.0,casablanca
218,mazda 3 diesel 6 cv a vendre,87000.0,mazda,3,2011,Diesel,100000,6.0,salé
219,vente dacia logan 1ère main,95000.0,dacia,logan,2016,Diesel,126500,6.0,casablanca
220,touareg v6 tdi - boite auto,160000.0,volkswagen,touareg,2015,Diesel,132000,12.0,casablanca
221,vente de lodgy dacia,100000.0,dacia,duster,2014,Essence,125000,9.0,agadir
222,bmw serie 1 118i,87000.0,bmw,serie 1,2009,Essence,179600,11.0,mohammedia
223,2012 dacia duster,108000.0,dacia,duster,2012,Essence,170000,6.0,agadir
224,jeep renegade modèle 2022,213000.0,jeep,renegade,,Diesel,74000,6.0,casablanca
225,dokker a vendre,165000.0,dacia,dokker,,Diesel,60000,6.0,sidi kacem
226,jaguar xf,140000.0,jaguar,xf,2015,Diesel,176000,8.0,casablanca
227,a vendre skoda superb,210000.0,skoda,superb,2019,Diesel,216000,8.0,casablanca
228,renault 21 coupe à vendre,24000.0,renault,21,1989,Diesel,0,8.0,casablanca
229,vw golf 7 2013 1.6 tdi pack gtd 7.5,178000.0,volkswagen,golf,2013,Diesel,244000,6.0,temara
230,peugeot 206 a vendre,45000.0,peugeot,206,2004,Diesel,0,6.0,casablanca
231,dacia spring electrique automatique 2024,146000.0,dacia,solenzo,,,1797,4.0,benslimane
232,kia cerato diesel toutes options,59000.0,kia,cerato,2007,Diesel,2222,8.0,casablanca
233,jaguar xe sport r,190000.0,jaguar,xf,2016,Diesel,200000,8.0,casablanca
234,vente mercedes,115000.0,mercedes-benz,c220,2006,Diesel,250000,8.0,rabat
235,clio 4 intense 2020,141000.0,renault,clio,,Diesel,79000,6.0,salé
236,ford fusion titanium plus x,165000.0,ford,fusion,2017,Diesel,197000,8.0,fès
237,scoda octavia a vendre,153000.0,skoda,octavia,2017,Diesel,194000,8.0,marrakech
238,vente voiture kuga diesel model septembre 2021,250000.0,ford,kuga,2019,,490000,6.0,casablanca
239,à saisir belle berline,145000.0,toyota,corolla,2018,Diesel,105000,6.0,casablanca
240,opel corsa,68000.0,opel,corsa,2014,Diesel,32000,4.0,tanger
241,peugeot 406,18000.0,peugeot,406,2000,Essence,0,10.0,casablanca
242,ford kuga 2017 a vendre,185000.0,ford,kuga,2017,Diesel,90000,8.0,casablanca
243,peugeot 205,27000.0,peugeot,205,1988,Diesel,80000,6.0,casablanca
244,dacia dokir,114000.0,fiat,500,,Essence,43000,7.0,rabat
245,fiat 500 dolcevita automatique,150000.0,renault,clio,2017,Essence,148000,6.0,casablanca
246,clio 4,118000.0,kia,picanto,2007,Essence,180000,6.0,casablanca
247,picanto 4 électrique clima 2007,48500.0,mercedes-benz,classe e,2001,Diesel,200000,9.0,casablanca
248,mercedes 220e cdi,62000.0,porsche,macan,2019,Essence,52000,12.0,casablanca
249,porsche macan,600000.0,audi,a4,2017,Diesel,120000,8.0,agadir
250,audi a4 automatic,300000.0,dacia,dokker,2018,ديزل,180000,6.0,taroudant
251,porsche panamera 4 hybrid g2,1130000.0,mercedes-benz,classe a,2016,Diesel,215000,6.0,casablanca
252,mercedes classe a 180,205000.0,renault,megane,2009,Diesel,325000,7.0,salé
253,renault megane 3 diesel manuelle 2009,88000.0,fiat,punto,2013,Essence,188000,7.0,berrechid
254,punto a vendre,67000.0,opel,corsa,2014,Diesel,269000,5.0,berrechid
255,voiture à vendre,130000.0,skoda,fabia,2017,Essence,100000,7.0,casablanca
256,voiture à vendre,89000.0,mercedes-benz,c220,2015,Diesel,166000,9.0,casablanca
257,mercedes class c model fin 2015 dedouane 2017,282000.0,toyota,corolla,2018,Diesel,100000,6.0,casablanca
258,demande emploi,158000.0,dacia,sandero,2016,Diesel,72000,6.0,fès
259,touareg baroudeur plus automatique,235000.0,mazda,cx_7,2011,Diesel,160000,9.0,marrakech
260,mazda cx 7 2011,105000.0,toyota,corolla,1998,Diesel,300000,8.0,casablanca
261,corolla diesel mod 98 - bon état,32000.0,kia,picanto,2007,Essence,145000,6.0,agadir
262,kia picanto essence,48000.0,volkswagen,touareg,2010,Diesel,205000,10.0,casablanca
263,touareg à vendre,150000.0,honda,cr-v,2010,Essence,73000,11.0,casablanca
264,honda crv,10900.0,fiat,500,2017,Diesel,16500,5.0,rabat
265,fiat 500 ( première main),800000.0,opel,astra,2012,Diesel,120000,8.0,casablanca
266,opel astra,115000.0,bmw,x5,2005,Diesel,210000,12.0,casablanca
267,bmw x5 pack luxe toutes options,98000.0,renault,scenic,2005,Diesel,135000,6.0,tanger
268,renault scenic 1.5dci,82000.0,skoda,fabia,2004,Diesel,300000,8.0,el jadida
269,skoda fabia,57000.0,volkswagen,touran,2007,Diesel,360000,8.0,casablanca
270,volkswagen touran,115000.0,peugeot,partner,2009,Diesel,200000240000,7.0,el jadida
271,peogeut partner 2009,57000.0,volkswagen,passat,2005,Diesel,25000,8.0,casablanca
272,volkswagen passat,80000.0,kia,picanto,2006,Essence,140000,6.0,casablanca
273,kia picanto,42000.0,peugeot,207,2010,Essence,150000,8.0,rabat
274,peugeot 207,72000.0,opel,astra,2010,Diesel,120000,7.0,salé
275,opel astra,100000.0,peugeot,208,2014,Diesel,19000,6.0,casablanca
276,peugeot 208 a vendre,100000.0,renault,kangoo,2010,Diesel,85000,6.0,casablanca
277,renault kangoo diesel,90000.0,kia,picanto,2009,Essence,0,5.0,casablanca
278,kia picanto,48000.0,peugeot,206,2009,Diesel,150000,6.0,casablanca
279,renault clio bon état salé,115000.0,kia,picanto,2007,Essence,200000,6.0,rabat
280,kia picanto,47000.0,dacia,dokker,2014,Diesel,190000,6.0,casablanca
281,dokker,85000.0,seat,leon,2016,Diesel,67000,6.0,casablanca
282,seat leon 1.6 tdi 110cv style 2016,160000.0,opel,corsa,2009,Diesel,0,5.0,rabat
283,camion kia contira,90000.0,mazda,2,2010,Essence,162000,8.0,casablanca
284,mazda 2 a vendre,55000.0,peugeot,207,2012,Diesel,137000,6.0,salé
285,peugeot 207 diesel,87000.0,volkswagen,touran,2007,Diesel,360000,8.0,casablanca
286,volkswagen touran,120000.0,mercedes-benz,c220,2011,Diesel,160000,9.0,salé
287,mercedes c220 blueefficiency,235000.0,peugeot,308,2008,Diesel,251000,6.0,casablanca
288,peugeot 308 diesel modèle 2008,86000.0,audi,a3,2009,Diesel,90000,8.0,casablanca
289,audi a3 diesel 2009,109000.0,peugeot,206,2002,Essence,180000,9.0,casablanca
290,peugeot 206 cc,44000.0,mercedes-benz,220,2010,Diesel,170000,9.0,nador
291,mercedes amg w204,185000.0,volkswagen,touran,2008,Diesel,138000,8.0,casablanca
292,volkswagen touran 2008,140000.0,land rover,range rover,2018,Diesel,0,9.0,marrakech
293,range rover velar neuve 0km,980000.0,renault,clio,2014,Diesel,80000,5.0,casablanca
294,clio 4 expression (demi-option),120000.0,bmw,525 tds,1997,Diesel,300000,10.0,berkane
295,bmw série 5,37000.0,audi,a4,2016,Diesel,170000,4.0,marrakech
296,audi a4 sline,110000.0,fiat,500,2017,Diesel,18000,5.0,casablanca
297,fiat 500 vintage diesel,125000.0,renault,megane,1997,Diesel,30000,7.0,marrakech
298,megane classic,45000.0,citroen,xsara,2001,Diesel,34258,7.0,casablanca
299,c4 picasso,95000.0,hyundai,accent,2006,Essence,150000,7.0,casablanca
300,hyndai accent 2006,41000.0,citroen,c4,2011,Diesel,93000,6.0,casablanca
301,c4 dynamique,115000.0,citroen,xsara,2003,Diesel,0,7.0,casablanca
302,vente xsara,43000.0,hyundai,i20,2012,Essence,50000,7.0,casablanca
303,hyundai i 20,80000.0,kia,picanto,2006,Essence,155000,6.0,rabat
304,kia picanto,47000.0,fiat,doblo,2012,Diesel,73600,20.0,dakhla
305,fiat doblo 1.3,30000.0,bmw,200,2016,Diesel,35000,8.0,casablanca
